
rep 0
{'use_best_params': True, 'gpu': 0, 'epoch': 200, 'patience': None, 'optimizer': 'adam', 'lr': 0.011402915506754104, 'decay': 0.008014968630105014, 'dataset': 'Cora', 'data_norm': 'gcn', 'self_loop_weight': 0, 'use_labels': False, 'label_rate': 0.5, 'planetoid_split': False, 'geom_gcn_splits': False, 'num_splits': 10, 'not_lcc': True, 'hetero_SL': False, 'hetero_undir': False, 'block': 'attention', 'function': 'gread', 'hidden_dim': 64, 'fc_out': False, 'input_dropout': 0.5043839651430236, 'dropout': 0.4145754297432822, 'batch_norm': False, 'alpha': 1.0, 'alpha_dim': 'vc', 'no_alpha_sigmoid': False, 'source_dim': 'sc', 'beta_dim': 'vc', 'use_mlp': False, 'add_source': False, 'XN_activation': False, 'm2_mlp': True, 'time': 2.07, 'augment': False, 'method': 'rk4', 'step_size': 0.5, 'max_iters': 100, 'adjoint_method': 'adaptive_heun', 'adjoint': False, 'adjoint_step_size': 1, 'tol_scale': 1.0, 'tol_scale_adjoint': 1.0, 'max_nfe': 5000, 'no_early': True, 'earlystopxT': 3, 'max_test_steps': 100, 'jacobian_norm2': None, 'total_deriv': None, 'kinetic_energy': None, 'directional_penalty': None, 'leaky_relu_slope': 0.2, 'attention_dropout': 0.0, 'heads': 1, 'attention_norm_idx': 0, 'attention_dim': 64, 'mix_features': False, 'reweight_attention': False, 'attention_type': 'scaled_dot', 'square_plus': False, 'gcn_fixed': 'False', 'gcn_enc_dec': 'False', 'gcn_non_lin': 'False', 'gcn_symm': 'False', 'gcn_bias': 'False', 'gcn_mid_dropout': 'False', 'gcn_params': None, 'gcn_params_idx': 0, 'rewiring': None, 'gdc_method': 'ppr', 'gdc_sparsification': 'topk', 'gdc_k': 64, 'gdc_threshold': 0.0001, 'gdc_avg_degree': 64, 'ppr_alpha': 0.05, 'heat_time': 3.0, 'att_samp_pct': 1, 'use_flux': False, 'exact': False, 'M_nodes': 64, 'new_edges': 'random', 'sparsify': 'S_hat', 'threshold_type': 'topk_adj', 'rw_addD': 0.02, 'rw_rmvR': 0.02, 'rewire_KNN': False, 'rewire_KNN_T': 'T0', 'rewire_KNN_epoch': 5, 'rewire_KNN_k': 64, 'rewire_KNN_sym': False, 'KNN_online': False, 'KNN_online_reps': 4, 'KNN_space': 'pos_distance', 'pos_enc_csv': False, 'beltrami': False, 'fa_layer': False, 'pos_enc_type': 'GDC', 'pos_enc_orientation': 'row', 'feat_hidden_dim': 64, 'pos_enc_hidden_dim': 32, 'edge_sampling': False, 'edge_sampling_T': 'T0', 'edge_sampling_epoch': 5, 'edge_sampling_add': 0.64, 'edge_sampling_add_type': 'importance', 'edge_sampling_rmv': 0.32, 'edge_sampling_sym': False, 'edge_sampling_online': False, 'edge_sampling_online_reps': 4, 'edge_sampling_space': 'attention', 'reaction_term': 'aggdiff-log', 'beta_diag': True, 'trusted_mask': False, 'noise': 0.0, 'noise_pos': None, 'prediffuse': False, 'x0': False, 'nox0': False, 'icxb': 1.0, 'source_scale': 1.0, 'alltime': False, 'allnumtrain': False, 'num_train_per_class': 20, 'save_result': False, 'wandb': True, 'wandb_sweep': False, 'wandb_entity': 'username', 'wandb_project': 'grade', 'wandb_run_name': None, 'run_track_reports': False, 'save_wandb_reports': False, 'device': 'cuda:0'}
GNN
m1.weight
torch.Size([64, 1433])
m1.bias
torch.Size([64])
m2.m21.weight
torch.Size([64, 64])
m2.m21.bias
torch.Size([64])
m2.m22.weight
torch.Size([7, 64])
m2.m22.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([1, 64])
odeblock.odefunc.source_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([1, 64])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.source_sc
torch.Size([1])
odeblock.odefunc.b_W
torch.Size([64])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.source_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([1, 64])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.source_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.b_W
torch.Size([64])
odeblock.multihead_att_layer.Q.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Q.bias
torch.Size([64])
odeblock.multihead_att_layer.V.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.V.bias
torch.Size([64])
odeblock.multihead_att_layer.K.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.K.bias
torch.Size([64])
odeblock.multihead_att_layer.Wout.weight
torch.Size([64, 64])
odeblock.multihead_att_layer.Wout.bias
torch.Size([64])
/root/autodl-tmp/GREAD/src/function_gread.py:37: UserWarning: nn.init.uniform is now deprecated in favor of nn.init.uniform_.
  uniform(self.b_W, a=-1, b=1)
Epoch: 1, Runtime: 0.2207, Loss: 1.943, forward nfe 20, backward nfe 0, tmp_train: 0.5643, tmp_val: 0.4279, tmp_test: 0.4223, Train: 0.5643, Val: 0.4279, Test: 0.4223, Best time: 2.0700
Epoch: 15, Runtime: 0.1389, Loss: 1.017, forward nfe 580, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7824, tmp_test: 0.7929, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 16, Runtime: 0.1674, Loss: 1.013, forward nfe 620, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7794, tmp_test: 0.7858, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 17, Runtime: 0.1292, Loss: 0.879, forward nfe 660, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7824, tmp_test: 0.7777, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 18, Runtime: 0.1392, Loss: 0.872, forward nfe 700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7645, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 19, Runtime: 0.1640, Loss: 0.952, forward nfe 740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7533, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 20, Runtime: 0.1480, Loss: 0.745, forward nfe 780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7434, tmp_test: 0.7411, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 21, Runtime: 0.1602, Loss: 0.822, forward nfe 820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7375, tmp_test: 0.7330, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 22, Runtime: 0.1343, Loss: 0.847, forward nfe 860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7434, tmp_test: 0.7381, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 23, Runtime: 0.1430, Loss: 0.969, forward nfe 900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7529, tmp_test: 0.7492, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 24, Runtime: 0.1622, Loss: 0.773, forward nfe 940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7625, tmp_test: 0.7604, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 25, Runtime: 0.1792, Loss: 0.757, forward nfe 980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7645, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 26, Runtime: 0.1421, Loss: 0.838, forward nfe 1020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7665, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 27, Runtime: 0.1341, Loss: 0.882, forward nfe 1060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7756, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 28, Runtime: 0.1451, Loss: 0.745, forward nfe 1100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7858, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 29, Runtime: 0.1485, Loss: 0.725, forward nfe 1140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.7929, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 30, Runtime: 0.1422, Loss: 0.770, forward nfe 1180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7941, tmp_test: 0.7848, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 31, Runtime: 0.1543, Loss: 0.870, forward nfe 1220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8007, tmp_test: 0.7838, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 32, Runtime: 0.1333, Loss: 0.719, forward nfe 1260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7912, tmp_test: 0.7878, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 33, Runtime: 0.1671, Loss: 0.750, forward nfe 1300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7858, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 34, Runtime: 0.1339, Loss: 0.842, forward nfe 1340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7706, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 35, Runtime: 0.1397, Loss: 0.771, forward nfe 1380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7665, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 36, Runtime: 0.1480, Loss: 0.800, forward nfe 1420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7640, tmp_test: 0.7665, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 37, Runtime: 0.1330, Loss: 0.817, forward nfe 1460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7827, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 38, Runtime: 0.1708, Loss: 0.746, forward nfe 1500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7858, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 39, Runtime: 0.1294, Loss: 0.765, forward nfe 1540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.7868, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 40, Runtime: 0.1312, Loss: 0.744, forward nfe 1580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7985, tmp_test: 0.7939, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 41, Runtime: 0.1582, Loss: 0.769, forward nfe 1620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.8010, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 42, Runtime: 0.1427, Loss: 0.811, forward nfe 1660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.7970, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 43, Runtime: 0.1488, Loss: 0.864, forward nfe 1700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.8010, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 44, Runtime: 0.1476, Loss: 0.701, forward nfe 1740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7888, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 45, Runtime: 0.1662, Loss: 0.799, forward nfe 1780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7699, tmp_test: 0.7777, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 46, Runtime: 0.1467, Loss: 0.644, forward nfe 1820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7746, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 47, Runtime: 0.1428, Loss: 0.709, forward nfe 1860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7726, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 48, Runtime: 0.1558, Loss: 0.741, forward nfe 1900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.7848, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 49, Runtime: 0.1495, Loss: 0.784, forward nfe 1940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.8010, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 50, Runtime: 0.1406, Loss: 0.604, forward nfe 1980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.8081, Train: 0.9857, Val: 0.8007, Test: 0.7970, Best time: 2.0700
Epoch: 51, Runtime: 0.1475, Loss: 0.771, forward nfe 2020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.8061, Train: 1.0000, Val: 0.8015, Test: 0.8061, Best time: 2.0700
Epoch: 52, Runtime: 0.1451, Loss: 0.757, forward nfe 2060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8022, tmp_test: 0.8051, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 53, Runtime: 0.1663, Loss: 0.655, forward nfe 2100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.8071, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 54, Runtime: 0.1272, Loss: 0.786, forward nfe 2140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.8061, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 55, Runtime: 0.1484, Loss: 0.692, forward nfe 2180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.8010, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 56, Runtime: 0.1576, Loss: 0.709, forward nfe 2220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7756, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 57, Runtime: 0.1413, Loss: 0.759, forward nfe 2260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7614, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 58, Runtime: 0.1467, Loss: 0.752, forward nfe 2300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7566, tmp_test: 0.7635, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 59, Runtime: 0.1333, Loss: 0.793, forward nfe 2340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7574, tmp_test: 0.7635, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 60, Runtime: 0.1302, Loss: 0.759, forward nfe 2380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7632, tmp_test: 0.7706, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 61, Runtime: 0.1496, Loss: 0.780, forward nfe 2420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.7817, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 62, Runtime: 0.1614, Loss: 0.724, forward nfe 2460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7838, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 63, Runtime: 0.1505, Loss: 0.659, forward nfe 2500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7939, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 64, Runtime: 0.1379, Loss: 0.543, forward nfe 2540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.7970, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 65, Runtime: 0.1437, Loss: 0.673, forward nfe 2580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7779, tmp_test: 0.7949, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 66, Runtime: 0.1581, Loss: 0.686, forward nfe 2620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7909, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 67, Runtime: 0.1419, Loss: 0.686, forward nfe 2660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7706, tmp_test: 0.7838, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 68, Runtime: 0.1587, Loss: 0.686, forward nfe 2700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7746, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 69, Runtime: 0.1250, Loss: 0.671, forward nfe 2740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7551, tmp_test: 0.7594, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 70, Runtime: 0.1430, Loss: 0.729, forward nfe 2780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7331, tmp_test: 0.7563, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 71, Runtime: 0.1495, Loss: 0.586, forward nfe 2820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7272, tmp_test: 0.7482, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 72, Runtime: 0.1352, Loss: 0.673, forward nfe 2860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7368, tmp_test: 0.7523, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 73, Runtime: 0.1564, Loss: 0.800, forward nfe 2900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7485, tmp_test: 0.7553, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 74, Runtime: 0.1634, Loss: 0.686, forward nfe 2940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7566, tmp_test: 0.7584, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 75, Runtime: 0.1286, Loss: 0.663, forward nfe 2980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7625, tmp_test: 0.7645, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 76, Runtime: 0.1372, Loss: 0.664, forward nfe 3020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7726, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 77, Runtime: 0.1381, Loss: 0.780, forward nfe 3060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7853, tmp_test: 0.7726, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 78, Runtime: 0.1561, Loss: 0.732, forward nfe 3100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.7777, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 79, Runtime: 0.1332, Loss: 0.653, forward nfe 3140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7777, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 80, Runtime: 0.1417, Loss: 0.732, forward nfe 3180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7817, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 81, Runtime: 0.1523, Loss: 0.680, forward nfe 3220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7807, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 82, Runtime: 0.1395, Loss: 0.782, forward nfe 3260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7801, tmp_test: 0.7807, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 83, Runtime: 0.1482, Loss: 0.686, forward nfe 3300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7756, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 84, Runtime: 0.1474, Loss: 0.631, forward nfe 3340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7665, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 85, Runtime: 0.1376, Loss: 0.784, forward nfe 3380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7588, tmp_test: 0.7584, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 86, Runtime: 0.1461, Loss: 0.691, forward nfe 3420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7478, tmp_test: 0.7513, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 87, Runtime: 0.1377, Loss: 0.638, forward nfe 3460, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7441, tmp_test: 0.7482, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 88, Runtime: 0.1473, Loss: 0.683, forward nfe 3500, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7419, tmp_test: 0.7431, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 89, Runtime: 0.1476, Loss: 0.712, forward nfe 3540, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7426, tmp_test: 0.7462, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 90, Runtime: 0.1324, Loss: 0.798, forward nfe 3580, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7624, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 91, Runtime: 0.1512, Loss: 0.587, forward nfe 3620, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7635, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 92, Runtime: 0.1360, Loss: 0.741, forward nfe 3660, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7635, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 93, Runtime: 0.1547, Loss: 0.631, forward nfe 3700, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7807, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 94, Runtime: 0.1377, Loss: 0.700, forward nfe 3740, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7926, tmp_test: 0.7919, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 95, Runtime: 0.1399, Loss: 0.707, forward nfe 3780, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7875, tmp_test: 0.7888, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 96, Runtime: 0.1644, Loss: 0.722, forward nfe 3820, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7766, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 97, Runtime: 0.1314, Loss: 0.601, forward nfe 3860, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7713, tmp_test: 0.7675, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 98, Runtime: 0.1487, Loss: 0.725, forward nfe 3900, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7610, tmp_test: 0.7543, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 99, Runtime: 0.1450, Loss: 0.625, forward nfe 3940, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7503, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 100, Runtime: 0.1459, Loss: 0.626, forward nfe 3980, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7543, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 101, Runtime: 0.1522, Loss: 0.700, forward nfe 4020, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7624, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 102, Runtime: 0.1362, Loss: 0.772, forward nfe 4060, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7726, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 103, Runtime: 0.1546, Loss: 0.656, forward nfe 4100, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7831, tmp_test: 0.7807, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 104, Runtime: 0.1428, Loss: 0.720, forward nfe 4140, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7838, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 105, Runtime: 0.1410, Loss: 0.732, forward nfe 4180, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7838, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 106, Runtime: 0.1592, Loss: 0.654, forward nfe 4220, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.7675, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 107, Runtime: 0.1598, Loss: 0.711, forward nfe 4260, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7691, tmp_test: 0.7543, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 108, Runtime: 0.1455, Loss: 0.646, forward nfe 4300, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7596, tmp_test: 0.7492, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 109, Runtime: 0.1505, Loss: 0.632, forward nfe 4340, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7566, tmp_test: 0.7411, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 110, Runtime: 0.1317, Loss: 0.723, forward nfe 4380, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7500, tmp_test: 0.7391, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
Epoch: 111, Runtime: 0.1588, Loss: 0.639, forward nfe 4420, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7493, tmp_test: 0.7411, Train: 1.0000, Val: 0.8022, Test: 0.8051, Best time: 2.0700
